Student_id,Age,Gender,Race,Location,Email,CGPA,Previous_Achievements,CourseTaken,Grades,Certifications,Hard_Skills,Soft_Skills,Previous_Work_Experience_Type,Previous_Work_Experience_Years,Previous_JobProfile,Previous_Work_Experience_At,Current_Work_Experience_Type,Current_Work_Experience_Years,Current_Job_Profile,Current_Work_Experience_At,Interests,Keywords,Career Goal,Grade1,Grade2,Grade3,Total_Grades,Percentage,Final_Grade
101,26,F,Malay,Johor,nurul@email.com,3.5,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,1.6,Data Scientist,TechGiant Inc,Full-Time,6.587443841,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
102,28,M,Chinese,Kedah,li@email.com,3.2,Master's Degree in Electrical Engineering,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure Data Scientist Associate, Oracle Cloud Infrastructure Data Science Certified Associate","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,2,Data Analyst,Data Analytics Inc,Full-Time,6.756724302,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
12345,34,F,Indian,Melaka,siti@email.com,3.8,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,3.2,Data Scientist,TechGiant Inc,Full-Time,5.706693611,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
1231,30,M,Malay,Negeri Sembilan,azlan@email.com,3,Diploma in IT,"Data Science, Machine Learning, Deep Learning","75, 80, 85","IBM Data Science Professional Certificate, Google Data Analytics Professional Certificate","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.4,Data Scientist,TechGiant Inc,Full-Time,6.737333721,Junior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Data Scientist,75,80,85,240,80,B
105,20,F,Chinese,Pahang,yee@email.com,3.5,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,4.30704276,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
106,24,M,Indian,Penang,kumar@email.com,3.2,Master's Degree in Electrical Engineering,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure Data Scientist Associate, Oracle Cloud Infrastructure Data Science Certified Associate","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,1.2,Data Analyst,Data Analytics Inc,Full-Time,3.833511813,Junior Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
107,32,F,Malay,Perak,nurul@email.com,3.8,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,2.8,Data Scientist,TechGiant Inc,Full-Time,5.932833073,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
108,18,M,Chinese,Selangor,li@email.com,3.6,Bachelor's Degree in Computer Science,"Data Science, Machine Learning, Deep Learning","85, 90, 88","IBM Data Science Professional Certificate, Google Professional Machine Learning Engineer","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0,Data Scientist,TechGiant Inc,Full-Time,2.982602617,Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,85,90,88,263,87.66666667,B
109,31,F,Indian,Kedah,siti@email.com,3.3,Master's Degree in Electrical Engineering,"Data Analytics, Big Data, Cloud Computing","80, 85, 90","Microsoft Certified: Azure Data Scientist Associate, Oracle Cloud Infrastructure Data Science Certified Associate","SQL, R, Power BI","Critical thinking, Attention to detail, Effective communication",Part-Time,2.6,Data Analyst,Data Analytics Inc,Full-Time,5.272570687,Data Scientist,Data Analytics Inc,"Data Analytics, Big Data, Cloud Computing","SQL, R, Power BI",Become a Data Science Manager,80,85,90,255,85,B
110,20,M,Malay,Johor,aziz@email.com,3.9,Bachelor's Degree in Accountancy,"Data Science, Machine Learning, Deep Learning","90, 92, 95","Google Data Analytics Professional Certificate, Deep Learning Specialization","Python, TensorFlow, Scikit-learn","Problem-solving, Analytical thinking, Communication skills",Internship,0.4,Data Scientist,TechGiant Inc,Full-Time,4.789368968,Senior Data Scientist,TechGiant Inc,"Data Science, Machine Learning, Deep Learning","Python, TensorFlow, Scikit-learn",Become a Senior Data Scientist,90,92,95,277,92.33333333,A
